cost_function,value,name,level
all_time_peak_average,1.062732286168299,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,1.5555488453153277,District,district
cost_total,1.5105982954277863,District,district
daily_one_minus_load_factor_average,0.7394869207756607,District,district
daily_peak_average,1.1472352804679127,District,district
discomfort_cold_delta_average,4.537173856629266,District,district
discomfort_cold_delta_maximum,8.734099388122559,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.8351074643027078,District,district
discomfort_hot_delta_average,0.018349242210388184,District,district
discomfort_hot_delta_maximum,1.0495986938476562,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.0018656716417910447,District,district
discomfort_proportion,0.8369731359444988,District,district
electricity_consumption_total,1.5750160077778819,District,district
monthly_one_minus_load_factor_average,0.8901774341510865,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,0.8896113776102672,District,district
zero_net_energy,1.5827374475721037,District,district
electricity_consumption_total,1.6392356626681763,Building_1,building
zero_net_energy,1.6622302637144375,Building_1,building
carbon_emissions_total,1.628049087355249,Building_1,building
cost_total,1.5707701634647482,Building_1,building
discomfort_proportion,0.9747545582047685,Building_1,building
discomfort_cold_proportion,0.9747545582047685,Building_1,building
discomfort_hot_proportion,0.0,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,12.458756446838379,Building_1,building
discomfort_cold_delta_average,8.009100961685181,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,0.21526145935058594,Building_1,building
discomfort_hot_delta_average,0.000657600826687283,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,1.615714879783083,Building_2,building
zero_net_energy,1.615714879783083,Building_2,building
carbon_emissions_total,1.5884838435319732,Building_2,building
cost_total,1.5403603345592942,Building_2,building
discomfort_proportion,0.7574626865671642,Building_2,building
discomfort_cold_proportion,0.7518656716417911,Building_2,building
discomfort_hot_proportion,0.005597014925373134,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,8.416017532348633,Building_2,building
discomfort_cold_delta_average,2.977663575278388,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,2.541790008544922,Building_2,building
discomfort_hot_delta_average,0.05327697065141466,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,1.4700974808823861,Building_3,building
zero_net_energy,1.470267199218791,Building_3,building
carbon_emissions_total,1.450113605058761,Building_3,building
cost_total,1.4206643882593166,Building_3,building
discomfort_proportion,0.778702163061564,Building_3,building
discomfort_cold_proportion,0.778702163061564,Building_3,building
discomfort_hot_proportion,0.0,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,5.327524185180664,Building_3,building
discomfort_cold_delta_average,2.6247570329242285,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,0.39174461364746094,Building_3,building
discomfort_hot_delta_average,0.0011131551530626086,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
