cost_function,value,name,level
all_time_peak_average,1.0168555398665535,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,1.1503011912845313,District,district
cost_total,1.100606678580631,District,district
daily_one_minus_load_factor_average,0.9970396894966911,District,district
daily_peak_average,1.1248544790425499,District,district
discomfort_cold_delta_average,1.9614424568635445,District,district
discomfort_cold_delta_maximum,8.898649215698242,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.41563800383027677,District,district
discomfort_hot_delta_average,0.15440755596867314,District,district
discomfort_hot_delta_maximum,4.1024932861328125,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.02202947992788622,District,district
discomfort_proportion,0.43766748375816295,District,district
electricity_consumption_total,1.1435573168950062,District,district
monthly_one_minus_load_factor_average,0.9767117360455033,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,1.5518490349041396,District,district
zero_net_energy,1.1303907162674818,District,district
electricity_consumption_total,1.1193973065615213,Building_1,building
zero_net_energy,1.1016362285456927,Building_1,building
carbon_emissions_total,1.1327254995282516,Building_1,building
cost_total,1.0576648555282238,Building_1,building
discomfort_proportion,0.6760168302945302,Building_1,building
discomfort_cold_proportion,0.6507713884992987,Building_1,building
discomfort_hot_proportion,0.025245441795231416,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,13.74466323852539,Building_1,building
discomfort_cold_delta_average,3.5537820590866938,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,4.9553680419921875,Building_1,building
discomfort_hot_delta_average,0.15344175762600368,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,1.208651989115976,Building_2,building
zero_net_energy,1.1968988584858136,Building_2,building
carbon_emissions_total,1.2110467788497328,Building_2,building
cost_total,1.1817837246874188,Building_2,building
discomfort_proportion,0.3358208955223881,Building_2,building
discomfort_cold_proportion,0.2966417910447761,Building_2,building
discomfort_hot_proportion,0.03917910447761194,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,7.993650436401367,Building_2,building
discomfort_cold_delta_average,1.10879434744517,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,5.1575775146484375,Building_2,building
discomfort_hot_delta_average,0.2469748894373576,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,1.1026226550075213,Building_3,building
zero_net_energy,1.0926370617709393,Building_3,building
carbon_emissions_total,1.1071312954756098,Building_3,building
cost_total,1.0623714555262502,Building_3,building
discomfort_proportion,0.3011647254575707,Building_3,building
discomfort_cold_proportion,0.2995008319467554,Building_3,building
discomfort_hot_proportion,0.0016638935108153079,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,4.957633972167969,Building_3,building
discomfort_cold_delta_average,1.22175096405877,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,2.1945343017578125,Building_3,building
discomfort_hot_delta_average,0.06280602084265816,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
