cost_function,value,name,level
all_time_peak_average,0.8315936625639461,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,0.46458208939173423,District,district
cost_total,0.4443960998146541,District,district
daily_one_minus_load_factor_average,1.2830663681781187,District,district
daily_peak_average,0.7268739903625594,District,district
discomfort_cold_delta_average,0.028098094463348388,District,district
discomfort_cold_delta_maximum,6.06333065032959,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.0037357043673637417,District,district
discomfort_hot_delta_average,7.102772521972657,District,district
discomfort_hot_delta_maximum,14.379873275756836,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.9317512418538003,District,district
discomfort_proportion,0.935486946221164,District,district
electricity_consumption_total,0.4679617675104238,District,district
monthly_one_minus_load_factor_average,1.118441907882936,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,0.9963401178756162,District,district
zero_net_energy,0.39778595871349814,District,district
electricity_consumption_total,0.4107399406743144,Building_1,building
zero_net_energy,0.2922741937418663,Building_1,building
carbon_emissions_total,0.40761989570204143,Building_1,building
cost_total,0.38468901118715715,Building_1,building
discomfort_proportion,0.9495091164095372,Building_1,building
discomfort_cold_proportion,0.005610098176718092,Building_1,building
discomfort_hot_proportion,0.9438990182328191,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,8.242716789245605,Building_1,building
discomfort_cold_delta_average,0.03870145347383287,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,15.152751922607422,Building_1,building
discomfort_hot_delta_average,8.379299031363594,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,0.4538446137773477,Building_2,building
zero_net_energy,0.4180933246873377,Building_2,building
carbon_emissions_total,0.44946624892014936,Building_2,building
cost_total,0.4433514684738701,Building_2,building
discomfort_proportion,0.9235074626865671,Building_2,building
discomfort_cold_proportion,0.005597014925373134,Building_2,building
discomfort_hot_proportion,0.917910447761194,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,8.896236419677734,Building_2,building
discomfort_cold_delta_average,0.04155954254998101,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,14.764318466186523,Building_2,building
discomfort_hot_delta_average,6.054121449258592,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,0.5393007480796093,Building_3,building
zero_net_energy,0.4829903577112904,Building_3,building
carbon_emissions_total,0.5366601235530117,Building_3,building
cost_total,0.5051478197829351,Building_3,building
discomfort_proportion,0.9334442595673876,Building_3,building
discomfort_cold_proportion,0.0,Building_3,building
discomfort_hot_proportion,0.9334442595673876,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,1.0510387420654297,Building_3,building
discomfort_cold_delta_average,0.004033287366231282,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,13.222549438476562,Building_3,building
discomfort_hot_delta_average,6.874897085295784,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
