cost_function,value,name,level
all_time_peak_average,0.8315936625639461,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,0.7077171848398732,District,district
cost_total,0.6717357448817634,District,district
daily_one_minus_load_factor_average,1.1680201664596068,District,district
daily_peak_average,0.8900976725589236,District,district
discomfort_cold_delta_average,0.3647738094683047,District,district
discomfort_cold_delta_maximum,6.517612457275391,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.0822482477963567,District,district
discomfort_hot_delta_average,2.556483492144832,District,district
discomfort_hot_delta_maximum,11.772256215413412,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.5733819525819898,District,district
discomfort_proportion,0.6556302003783464,District,district
electricity_consumption_total,0.7055930365674143,District,district
monthly_one_minus_load_factor_average,1.0500695916188554,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,1.344664384567319,District,district
zero_net_energy,0.6575964121134312,District,district
electricity_consumption_total,0.6411655894147168,Building_1,building
zero_net_energy,0.5528528567792671,Building_1,building
carbon_emissions_total,0.6454614407154391,Building_1,building
cost_total,0.5917889963373614,Building_1,building
discomfort_proportion,0.7194950911640954,Building_1,building
discomfort_cold_proportion,0.1402524544179523,Building_1,building
discomfort_hot_proportion,0.5792426367461431,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,10.439384460449219,Building_1,building
discomfort_cold_delta_average,0.6784734355078803,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,12.937644958496094,Building_1,building
discomfort_hot_delta_average,3.1577917999691434,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,0.7495324905213682,Building_2,building
zero_net_energy,0.7290157724864972,Building_2,building
carbon_emissions_total,0.7510849625614827,Building_2,building
cost_total,0.7359554769288196,Building_2,building
discomfort_proportion,0.5951492537313433,Building_2,building
discomfort_cold_proportion,0.061567164179104475,Building_2,building
discomfort_hot_proportion,0.5335820895522388,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,5.511390686035156,Building_2,building
discomfort_cold_delta_average,0.24281999535030788,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,12.555887222290039,Building_2,building
discomfort_hot_delta_average,2.096391553348965,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,0.7260810297661582,Building_3,building
zero_net_energy,0.6909206070745293,Building_3,building
carbon_emissions_total,0.7266051512426976,Building_3,building
cost_total,0.687462761379109,Building_3,building
discomfort_proportion,0.6522462562396006,Building_3,building
discomfort_cold_proportion,0.04492512479201331,Building_3,building
discomfort_hot_proportion,0.6073211314475874,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,3.602062225341797,Building_3,building
discomfort_cold_delta_average,0.1730279975467258,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,9.823236465454102,Building_3,building
discomfort_hot_delta_average,2.4152671231163874,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
