cost_function,value,name,level
all_time_peak_average,0.8315936625639461,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,0.46794588137217125,District,district
cost_total,0.436504585032287,District,district
daily_one_minus_load_factor_average,1.296002786097395,District,district
daily_peak_average,0.7525159091104248,District,district
discomfort_cold_delta_average,0.014790757497151691,District,district
discomfort_cold_delta_maximum,3.508164723714193,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.003576960917711582,District,district
discomfort_hot_delta_average,7.230812908984997,District,district
discomfort_hot_delta_maximum,14.769179026285807,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.9587173380076953,District,district
discomfort_proportion,0.962294298925407,District,district
electricity_consumption_total,0.4709720971034847,District,district
monthly_one_minus_load_factor_average,1.1182466625384384,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,1.0809169068483029,District,district
zero_net_energy,0.40001259901968095,District,district
electricity_consumption_total,0.4066420138835688,Building_1,building
zero_net_energy,0.2830350588535825,Building_1,building
carbon_emissions_total,0.4036873987503948,Building_1,building
cost_total,0.3798989660572753,Building_1,building
discomfort_proportion,0.9649368863955119,Building_1,building
discomfort_cold_proportion,0.001402524544179523,Building_1,building
discomfort_hot_proportion,0.9635343618513323,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,5.283100128173828,Building_1,building
discomfort_cold_delta_average,0.010187443097432454,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,16.574737548828125,Building_1,building
discomfort_hot_delta_average,8.806766451729668,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,0.46027263912339306,Building_2,building
zero_net_energy,0.4290276092365149,Building_2,building
carbon_emissions_total,0.4555727684493884,Building_2,building
cost_total,0.4243124924136505,Building_2,building
discomfort_proportion,0.9552238805970149,Building_2,building
discomfort_cold_proportion,0.009328358208955223,Building_2,building
discomfort_hot_proportion,0.9458955223880597,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,5.0092926025390625,Building_2,building
discomfort_cold_delta_average,0.033511919445461696,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,14.051401138305664,Building_2,building
discomfort_hot_delta_average,6.226811570591397,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,0.5460016383034922,Building_3,building
zero_net_energy,0.4879751289689455,Building_3,building
carbon_emissions_total,0.5445774769167304,Building_3,building
cost_total,0.5053022966259353,Building_3,building
discomfort_proportion,0.9667221297836939,Building_3,building
discomfort_cold_proportion,0.0,Building_3,building
discomfort_hot_proportion,0.9667221297836939,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,0.2321014404296875,Building_3,building
discomfort_cold_delta_average,0.0006729099485609266,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,13.681398391723633,Building_3,building
discomfort_hot_delta_average,6.658860704633924,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
