cost_function,value,name,level
all_time_peak_average,0.9988979071338107,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,1.0467975348896326,District,district
cost_total,1.0425725746538652,District,district
daily_one_minus_load_factor_average,0.9746988954230623,District,district
daily_peak_average,0.9867064118043263,District,district
discomfort_cold_delta_average,1.0034095040074102,District,district
discomfort_cold_delta_maximum,4.816149393717448,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.25043525502799435,District,district
discomfort_hot_delta_average,0.14492276862815576,District,district
discomfort_hot_delta_maximum,2.5634994506835938,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.005914501824677454,District,district
discomfort_proportion,0.25634975685267186,District,district
electricity_consumption_total,1.050109762615345,District,district
monthly_one_minus_load_factor_average,0.997498669645754,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,1.065622057862766,District,district
zero_net_energy,1.0494718272562902,District,district
electricity_consumption_total,0.8687230586802465,Building_1,building
zero_net_energy,0.8710070666300659,Building_1,building
carbon_emissions_total,0.8688536372341087,Building_1,building
cost_total,0.8515321017506874,Building_1,building
discomfort_proportion,0.1753155680224404,Building_1,building
discomfort_cold_proportion,0.16690042075736325,Building_1,building
discomfort_hot_proportion,0.008415147265077139,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,4.857547760009766,Building_1,building
discomfort_cold_delta_average,0.9039310481813219,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,2.7384700775146484,Building_1,building
discomfort_hot_delta_average,0.22927628888024223,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,1.3260343499297287,Building_2,building
zero_net_energy,1.3227885091154261,Building_2,building
carbon_emissions_total,1.3185448289063861,Building_2,building
cost_total,1.3195099748080164,Building_2,building
discomfort_proportion,0.5205223880597015,Building_2,building
discomfort_cold_proportion,0.5111940298507462,Building_2,building
discomfort_hot_proportion,0.009328358208955223,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,5.9634552001953125,Building_2,building
discomfort_cold_delta_average,1.535890809694926,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,3.1986541748046875,Building_2,building
discomfort_hot_delta_average,0.07277027765909831,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,0.9555718792360598,Building_3,building
zero_net_energy,0.9546199060233784,Building_3,building
carbon_emissions_total,0.952994138528403,Building_3,building
cost_total,0.9566756474028919,Building_3,building
discomfort_proportion,0.07321131447587355,Building_3,building
discomfort_cold_proportion,0.07321131447587355,Building_3,building
discomfort_hot_proportion,0.0,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,3.6274452209472656,Building_3,building
discomfort_cold_delta_average,0.5704066541459826,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,1.7533740997314453,Building_3,building
discomfort_hot_delta_average,0.13272173934512668,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
