cost_function,value,name,level
all_time_peak_average,0.8315936625639461,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,0.4335792016131054,District,district
cost_total,0.4068959632269802,District,district
daily_one_minus_load_factor_average,1.2922810081386296,District,district
daily_peak_average,0.6883311560085159,District,district
discomfort_cold_delta_average,0.002932400173611111,District,district
discomfort_cold_delta_maximum,0.8277238210042318,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.0,District,district
discomfort_hot_delta_average,8.054465345100121,District,district
discomfort_hot_delta_maximum,14.819786071777344,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.9758225622255688,District,district
discomfort_proportion,0.9758225622255688,District,district
electricity_consumption_total,0.43725208619842637,District,district
monthly_one_minus_load_factor_average,1.127148060349673,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,1.0334880609810109,District,district
zero_net_energy,0.35827157611588106,District,district
electricity_consumption_total,0.4305472478665664,Building_1,building
zero_net_energy,0.30056753633844346,Building_1,building
carbon_emissions_total,0.4298217954642558,Building_1,building
cost_total,0.3988744558634161,Building_1,building
discomfort_proportion,0.9733520336605891,Building_1,building
discomfort_cold_proportion,0.0,Building_1,building
discomfort_hot_proportion,0.9733520336605891,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,1.6697521209716797,Building_1,building
discomfort_cold_delta_average,0.004439536730448405,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,16.01300048828125,Building_1,building
discomfort_hot_delta_average,8.769799582163493,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,0.3820391290742256,Building_2,building
zero_net_energy,0.3344946040353962,Building_2,building
carbon_emissions_total,0.37647380000453273,Building_2,building
cost_total,0.34854363040092334,Building_2,building
discomfort_proportion,0.9757462686567164,Building_2,building
discomfort_cold_proportion,0.0,Building_2,building
discomfort_hot_proportion,0.9757462686567164,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,0.5813179016113281,Building_2,building
discomfort_cold_delta_average,0.003684753841824002,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,14.764959335327148,Building_2,building
discomfort_hot_delta_average,7.189627477857802,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,0.49916988165448717,Building_3,building
zero_net_energy,0.4397525879738036,Building_3,building
carbon_emissions_total,0.49444200937052774,Building_3,building
cost_total,0.4732698034166012,Building_3,building
discomfort_proportion,0.978369384359401,Building_3,building
discomfort_cold_proportion,0.0,Building_3,building
discomfort_hot_proportion,0.978369384359401,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,0.2321014404296875,Building_3,building
discomfort_cold_delta_average,0.0006729099485609266,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,13.681398391723633,Building_3,building
discomfort_hot_delta_average,8.203968975279066,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
