cost_function,value,name,level
all_time_peak_average,1.0880721650936718,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,1.143885412561616,District,district
cost_total,1.1327243123876707,District,district
daily_one_minus_load_factor_average,0.9998796190312663,District,district
daily_peak_average,1.0969419481556766,District,district
discomfort_cold_delta_average,1.4143551248091237,District,district
discomfort_cold_delta_maximum,5.961009343465169,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.31291400327080415,District,district
discomfort_hot_delta_average,0.02229984513035527,District,district
discomfort_hot_delta_maximum,1.1043205261230469,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.0,District,district
discomfort_proportion,0.31291400327080415,District,district
electricity_consumption_total,1.1443187998281281,District,district
monthly_one_minus_load_factor_average,1.0007523961556812,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,1.4283579633927102,District,district
zero_net_energy,1.117866116972143,District,district
electricity_consumption_total,0.978199816485625,Building_1,building
zero_net_energy,0.9776574181486483,Building_1,building
carbon_emissions_total,0.9789821793061433,Building_1,building
cost_total,0.9746765615062842,Building_1,building
discomfort_proportion,0.4600280504908836,Building_1,building
discomfort_cold_proportion,0.4600280504908836,Building_1,building
discomfort_hot_proportion,0.0,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,8.282455444335938,Building_1,building
discomfort_cold_delta_average,2.054625594615936,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,1.2484817504882812,Building_1,building
discomfort_hot_delta_average,0.024090003967285157,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,1.4309204562154743,Building_2,building
zero_net_energy,1.35534359596374,Building_2,building
carbon_emissions_total,1.432260284807555,Building_2,building
cost_total,1.4087967983450584,Building_2,building
discomfort_proportion,0.333955223880597,Building_2,building
discomfort_cold_proportion,0.333955223880597,Building_2,building
discomfort_hot_proportion,0.0,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,5.865304946899414,Building_2,building
discomfort_cold_delta_average,1.1862145291434394,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,0.9228858947753906,Building_2,building
discomfort_hot_delta_average,0.023262328571743436,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,1.0238361267832852,Building_3,building
zero_net_energy,1.0205973368040404,Building_3,building
carbon_emissions_total,1.02041377357115,Building_3,building
cost_total,1.0146995773116692,Building_3,building
discomfort_proportion,0.1447587354409318,Building_3,building
discomfort_cold_proportion,0.1447587354409318,Building_3,building
discomfort_hot_proportion,0.0,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,3.7352676391601562,Building_3,building
discomfort_cold_delta_average,1.0022252506679958,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,1.1415939331054688,Building_3,building
discomfort_hot_delta_average,0.019547202852037218,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
