cost_function,value,name,level
all_time_peak_average,0.8315936625639461,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,0.4142750231976872,District,district
cost_total,0.3879919277760971,District,district
daily_one_minus_load_factor_average,1.3011611627663549,District,district
daily_peak_average,0.683739140489328,District,district
discomfort_cold_delta_average,0.001561144546226219,District,district
discomfort_cold_delta_maximum,0.31232961018880206,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.0,District,district
discomfort_hot_delta_average,8.303549407146596,District,district
discomfort_hot_delta_maximum,15.082476298014322,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.9781601031325348,District,district
discomfort_proportion,0.9781601031325348,District,district
electricity_consumption_total,0.41919292030347455,District,district
monthly_one_minus_load_factor_average,1.13111571631724,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,0.9001458402956402,District,district
zero_net_energy,0.3454594983902033,District,district
electricity_consumption_total,0.39366234090305846,Building_1,building
zero_net_energy,0.2677119011130254,Building_1,building
carbon_emissions_total,0.39051478964040093,Building_1,building
cost_total,0.3683545652467439,Building_1,building
discomfort_proportion,0.9803646563814866,Building_1,building
discomfort_cold_proportion,0.0,Building_1,building
discomfort_hot_proportion,0.9803646563814866,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,0.12356948852539062,Building_1,building
discomfort_cold_delta_average,0.0003257698482937283,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,16.79343032836914,Building_1,building
discomfort_hot_delta_average,9.516325566503737,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,0.3654387430552921,Building_2,building
zero_net_energy,0.33108130643765427,Building_2,building
carbon_emissions_total,0.35891391273684276,Building_2,building
cost_total,0.33384345567428997,Building_2,building
discomfort_proportion,0.9757462686567164,Building_2,building
discomfort_cold_proportion,0.0,Building_2,building
discomfort_hot_proportion,0.9757462686567164,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,0.5813179016113281,Building_2,building
discomfort_cold_delta_average,0.003684753841824002,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,14.772623062133789,Building_2,building
discomfort_hot_delta_average,7.190357642703586,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,0.498477676952073,Building_3,building
zero_net_energy,0.4375852876199301,Building_3,building
carbon_emissions_total,0.4933963672158179,Building_3,building
cost_total,0.4617777624072574,Building_3,building
discomfort_proportion,0.978369384359401,Building_3,building
discomfort_cold_proportion,0.0,Building_3,building
discomfort_hot_proportion,0.978369384359401,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,0.2321014404296875,Building_3,building
discomfort_cold_delta_average,0.0006729099485609266,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,13.681375503540039,Building_3,building
discomfort_hot_delta_average,8.203965012232462,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
