cost_function,value,name,level
all_time_peak_average,0.7971173947238476,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,0.6767011963904649,District,district
cost_total,0.6505355313719384,District,district
daily_one_minus_load_factor_average,1.2579488687055997,District,district
daily_peak_average,0.997270506728716,District,district
discomfort_cold_delta_average,0.4615552354741979,District,district
discomfort_cold_delta_maximum,8.995552698771158,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.09850541319488115,District,district
discomfort_hot_delta_average,2.5963588423199124,District,district
discomfort_hot_delta_maximum,9.78933080037435,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.5472673692838499,District,district
discomfort_proportion,0.645772782478731,District,district
electricity_consumption_total,0.6819904521521742,District,district
monthly_one_minus_load_factor_average,1.0551272950015103,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,1.6480879203689005,District,district
zero_net_energy,0.6090133027453142,District,district
electricity_consumption_total,0.594121597008915,Building_1,building
zero_net_energy,0.5040965214096332,Building_1,building
carbon_emissions_total,0.5872176198471046,Building_1,building
cost_total,0.5560691658436165,Building_1,building
discomfort_proportion,0.6858345021037868,Building_1,building
discomfort_cold_proportion,0.16129032258064516,Building_1,building
discomfort_hot_proportion,0.5245441795231417,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,13.449495315551758,Building_1,building
discomfort_cold_delta_average,0.8031515757242839,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,11.206781387329102,Building_1,building
discomfort_hot_delta_average,2.78451898627811,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,0.7349702149566258,Building_2,building
zero_net_energy,0.6497003057786009,Building_2,building
carbon_emissions_total,0.7303131176207117,Building_2,building
cost_total,0.721918663739988,Building_2,building
discomfort_proportion,0.6791044776119403,Building_2,building
discomfort_cold_proportion,0.10261194029850747,Building_2,building
discomfort_hot_proportion,0.5764925373134329,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,9.822650909423828,Building_2,building
discomfort_cold_delta_average,0.40392671161227756,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,10.500967025756836,Building_2,building
discomfort_hot_delta_average,2.827195003297594,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,0.7168795444909818,Building_3,building
zero_net_energy,0.6732430810477085,Building_3,building
carbon_emissions_total,0.7125728517035786,Building_3,building
cost_total,0.6736187645322107,Building_3,building
discomfort_proportion,0.5723793677204659,Building_3,building
discomfort_cold_proportion,0.03161397670549085,Building_3,building
discomfort_hot_proportion,0.540765391014975,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,3.7145118713378906,Building_3,building
discomfort_cold_delta_average,0.17758741908603246,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,7.660243988037109,Building_3,building
discomfort_hot_delta_average,2.1773625373840333,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
