cost_function,value,name,level
all_time_peak_average,0.9471629819912722,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,1.2083468541223563,District,district
cost_total,1.1841707864247037,District,district
daily_one_minus_load_factor_average,0.9810009048178886,District,district
daily_peak_average,1.1400323952071914,District,district
discomfort_cold_delta_average,2.3071797900729707,District,district
discomfort_cold_delta_maximum,8.741698265075684,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.4759085285476341,District,district
discomfort_hot_delta_average,0.09894652631547717,District,district
discomfort_hot_delta_maximum,3.6513983408610025,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.01386456018512149,District,district
discomfort_proportion,0.4897730887327556,District,district
electricity_consumption_total,1.2021175229233318,District,district
monthly_one_minus_load_factor_average,0.9440457707442088,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,1.5800981490309634,District,district
zero_net_energy,1.1865987592866996,District,district
electricity_consumption_total,1.2171550697885938,Building_1,building
zero_net_energy,1.2094820705717744,Building_1,building
carbon_emissions_total,1.2302864368866355,Building_1,building
cost_total,1.1835751962756174,Building_1,building
discomfort_proportion,0.7812061711079944,Building_1,building
discomfort_cold_proportion,0.7727910238429172,Building_1,building
discomfort_hot_proportion,0.008415147265077139,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,12.58379077911377,Building_1,building
discomfort_cold_delta_average,4.351768438021342,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,2.8819141387939453,Building_1,building
discomfort_hot_delta_average,0.07687931590610081,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,1.2529250651993735,Building_2,building
zero_net_energy,1.229151419872064,Building_2,building
carbon_emissions_total,1.256377651138089,Building_2,building
cost_total,1.249370108706054,Building_2,building
discomfort_proportion,0.34701492537313433,Building_2,building
discomfort_cold_proportion,0.31716417910447764,Building_2,building
discomfort_hot_proportion,0.029850746268656716,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,8.697803497314453,Building_2,building
discomfort_cold_delta_average,1.2169305430518256,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,5.186595916748047,Building_2,building
discomfort_hot_delta_average,0.1701860719256931,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,1.1362724337820287,Building_3,building
zero_net_energy,1.12116278741626,Building_3,building
carbon_emissions_total,1.1383764743423443,Building_3,building
cost_total,1.1195670542924399,Building_3,building
discomfort_proportion,0.3410981697171381,Building_3,building
discomfort_cold_proportion,0.33777038269550747,Building_3,building
discomfort_hot_proportion,0.0033277870216306157,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,4.943500518798828,Building_3,building
discomfort_cold_delta_average,1.3528403891457452,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,2.8856849670410156,Building_3,building
discomfort_hot_delta_average,0.049774191114637586,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
