cost_function,value,name,level
all_time_peak_average,0.8315936625639461,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,0.6785149634087798,District,district
cost_total,0.6340576998274026,District,district
daily_one_minus_load_factor_average,1.2272364046827517,District,district
daily_peak_average,0.9390018180885217,District,district
discomfort_cold_delta_average,0.3345516924504881,District,district
discomfort_cold_delta_maximum,7.437754313151042,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.06626762300169046,District,district
discomfort_hot_delta_average,2.9923212625362257,District,district
discomfort_hot_delta_maximum,10.873982747395834,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.6129009922929941,District,district
discomfort_proportion,0.6791686152946844,District,district
electricity_consumption_total,0.6861673054519907,District,district
monthly_one_minus_load_factor_average,1.0626770780181156,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,1.5287550853718608,District,district
zero_net_energy,0.6056101027246095,District,district
electricity_consumption_total,0.6229175129751556,Building_1,building
zero_net_energy,0.5102048179876214,Building_1,building
carbon_emissions_total,0.6192261100287217,Building_1,building
cost_total,0.576271371452648,Building_1,building
discomfort_proportion,0.6858345021037868,Building_1,building
discomfort_cold_proportion,0.1388499298737728,Building_1,building
discomfort_hot_proportion,0.5469845722300141,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,11.842484474182129,Building_1,building
discomfort_cold_delta_average,0.7190007819069757,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,11.47475814819336,Building_1,building
discomfort_hot_delta_average,2.9650998698340523,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,0.7078307732351777,Building_2,building
zero_net_energy,0.6379876858689442,Building_2,building
carbon_emissions_total,0.6956764041694972,Building_2,building
cost_total,0.6487632371565697,Building_2,building
discomfort_proportion,0.6977611940298507,Building_2,building
discomfort_cold_proportion,0.04664179104477612,Building_2,building
discomfort_hot_proportion,0.6511194029850746,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,7.714116096496582,Building_2,building
discomfort_cold_delta_average,0.18725922769970363,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,11.68124008178711,Building_2,building
discomfort_hot_delta_average,3.3846334669325087,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,0.7277536301456389,Building_3,building
zero_net_energy,0.6686378043172628,Building_3,building
carbon_emissions_total,0.7206423760281209,Building_3,building
cost_total,0.6771384908729899,Building_3,building
discomfort_proportion,0.653910149750416,Building_3,building
discomfort_cold_proportion,0.013311148086522463,Building_3,building
discomfort_hot_proportion,0.6405990016638935,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,2.756662368774414,Building_3,building
discomfort_cold_delta_average,0.09739506774478489,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,9.465950012207031,Building_3,building
discomfort_hot_delta_average,2.6272304508421156,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
