cost_function,value,name,level
all_time_peak_average,0.8315936625639461,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,0.7642262748562328,District,district
cost_total,0.72997867470133,District,district
daily_one_minus_load_factor_average,1.1537640424579552,District,district
daily_peak_average,0.991549468315984,District,district
discomfort_cold_delta_average,0.5564289287284568,District,district
discomfort_cold_delta_maximum,6.668476104736328,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.1307491942545779,District,district
discomfort_hot_delta_average,1.6517531077067058,District,district
discomfort_hot_delta_maximum,7.864490509033203,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.43736507561442983,District,district
discomfort_proportion,0.5681142698690077,District,district
electricity_consumption_total,0.7641125283897113,District,district
monthly_one_minus_load_factor_average,1.0246643350693563,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,1.5003822080714262,District,district
zero_net_energy,0.7387204430059143,District,district
electricity_consumption_total,0.7557330228874478,Building_1,building
zero_net_energy,0.7344840143368944,Building_1,building
carbon_emissions_total,0.7602296354205325,Building_1,building
cost_total,0.704422904287488,Building_1,building
discomfort_proportion,0.605890603085554,Building_1,building
discomfort_cold_proportion,0.25666199158485276,Building_1,building
discomfort_hot_proportion,0.3492286115007013,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,9.423776626586914,Building_1,building
discomfort_cold_delta_average,1.176349131266276,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,9.025497436523438,Building_1,building
discomfort_hot_delta_average,1.577624625629849,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,0.7586036119041022,Building_2,building
zero_net_energy,0.7350335816823532,Building_2,building
carbon_emissions_total,0.7561551003038778,Building_2,building
cost_total,0.7450113744377664,Building_2,building
discomfort_proportion,0.6026119402985075,Building_2,building
discomfort_cold_proportion,0.06902985074626866,Building_2,building
discomfort_hot_proportion,0.5335820895522388,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,6.963954925537109,Building_2,building
discomfort_cold_delta_average,0.2527887370851305,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,8.853771209716797,Building_2,building
discomfort_hot_delta_average,1.8837274842792087,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,0.7780009503775839,Building_3,building
zero_net_energy,0.7466437329984952,Building_3,building
carbon_emissions_total,0.7762940888442885,Building_3,building
cost_total,0.7405017453787356,Building_3,building
discomfort_proportion,0.49584026622296173,Building_3,building
discomfort_cold_proportion,0.06655574043261231,Building_3,building
discomfort_hot_proportion,0.4292845257903494,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,3.617696762084961,Building_3,building
discomfort_cold_delta_average,0.24014891783396403,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,5.714202880859375,Building_3,building
discomfort_hot_delta_average,1.4939072132110596,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
