cost_function,value,name,level
all_time_peak_average,1.1118731651791798,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,0.46675866188046283,District,district
cost_total,0.43826149570022893,District,district
daily_one_minus_load_factor_average,1.3305112602543734,District,district
daily_peak_average,0.8667712840618368,District,district
discomfort_cold_delta_average,0.08670667763109562,District,district
discomfort_cold_delta_maximum,6.571865399678548,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.018996008736123032,District,district
discomfort_hot_delta_average,6.894634403122796,District,district
discomfort_hot_delta_maximum,14.323386510213217,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.9159983164271893,District,district
discomfort_proportion,0.9349943251633124,District,district
electricity_consumption_total,0.47544337474085613,District,district
monthly_one_minus_load_factor_average,1.1458081555473423,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,1.1580702532123006,District,district
zero_net_energy,0.3899849527004539,District,district
electricity_consumption_total,0.44064361087223236,Building_1,building
zero_net_energy,0.3141269607726242,Building_1,building
carbon_emissions_total,0.43397333889425665,Building_1,building
cost_total,0.40995302106935727,Building_1,building
discomfort_proportion,0.9214586255259467,Building_1,building
discomfort_cold_proportion,0.0364656381486676,Building_1,building
discomfort_hot_proportion,0.884992987377279,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,8.784479141235352,Building_1,building
discomfort_cold_delta_average,0.17766846815745035,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,14.935478210449219,Building_1,building
discomfort_hot_delta_average,7.42912183602651,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,0.4453285994898706,Building_2,building
zero_net_energy,0.38557276713235356,Building_2,building
carbon_emissions_total,0.4344777583991151,Building_2,building
cost_total,0.4067145212044862,Building_2,building
discomfort_proportion,0.9384328358208955,Building_2,building
discomfort_cold_proportion,0.020522388059701493,Building_2,building
discomfort_hot_proportion,0.917910447761194,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,9.670374870300293,Building_2,building
discomfort_cold_delta_average,0.0779268675380283,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,14.756528854370117,Building_2,building
discomfort_hot_delta_average,6.2305108494228785,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,0.5403579138604655,Building_3,building
zero_net_energy,0.470255130196384,Building_3,building
carbon_emissions_total,0.5318248883480167,Building_3,building
cost_total,0.49811694482684343,Building_3,building
discomfort_proportion,0.9450915141430949,Building_3,building
discomfort_cold_proportion,0.0,Building_3,building
discomfort_hot_proportion,0.9450915141430949,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,1.2607421875,Building_3,building
discomfort_cold_delta_average,0.00452469719780816,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,13.278152465820312,Building_3,building
discomfort_hot_delta_average,7.024270523918999,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
