cost_function,value,name,level
all_time_peak_average,0.9404522921666513,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,0.5077687354421848,District,district
cost_total,0.4809411853062551,District,district
daily_one_minus_load_factor_average,1.318529401598084,District,district
daily_peak_average,0.8797334539555042,District,district
discomfort_cold_delta_average,0.08768921384104976,District,district
discomfort_cold_delta_maximum,5.491357167561849,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.019776642733038873,District,district
discomfort_hot_delta_average,6.125440292888217,District,district
discomfort_hot_delta_maximum,13.785306930541992,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.9060459604185075,District,district
discomfort_proportion,0.9258226031515463,District,district
electricity_consumption_total,0.5109975393207422,District,district
monthly_one_minus_load_factor_average,1.122441740132616,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,1.2668305862892049,District,district
zero_net_energy,0.43278333526487117,District,district
electricity_consumption_total,0.4479711982200283,Building_1,building
zero_net_energy,0.3271020859016843,Building_1,building
carbon_emissions_total,0.4455158130163657,Building_1,building
cost_total,0.41823821232626746,Building_1,building
discomfort_proportion,0.9116409537166901,Building_1,building
discomfort_cold_proportion,0.04067321178120617,Building_1,building
discomfort_hot_proportion,0.8709677419354839,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,8.398038864135742,Building_1,building
discomfort_cold_delta_average,0.19418867031733195,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,14.936203002929688,Building_1,building
discomfort_hot_delta_average,7.053887102339003,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,0.5145043500365782,Building_2,building
zero_net_energy,0.45706374752159,Building_2,building
carbon_emissions_total,0.5104574596701447,Building_2,building
cost_total,0.4919468037775353,Building_2,building
discomfort_proportion,0.9440298507462687,Building_2,building
discomfort_cold_proportion,0.018656716417910446,Building_2,building
discomfort_hot_proportion,0.9253731343283582,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,7.376424789428711,Building_2,building
discomfort_cold_delta_average,0.06687854131062826,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,14.015867233276367,Building_2,building
discomfort_hot_delta_average,5.798115939564175,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,0.5705170697056201,Building_3,building
zero_net_energy,0.5141841723713392,Building_3,building
carbon_emissions_total,0.5673329336400439,Building_3,building
cost_total,0.5326385398149628,Building_3,building
discomfort_proportion,0.9217970049916805,Building_3,building
discomfort_cold_proportion,0.0,Building_3,building
discomfort_hot_proportion,0.9217970049916805,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,0.6996078491210938,Building_3,building
discomfort_cold_delta_average,0.0020004298951890732,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,12.403850555419922,Building_3,building
discomfort_hot_delta_average,5.524317836761474,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
