cost_function,value,name,level
all_time_peak_average,0.9204042203832702,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,0.9680322154957111,District,district
cost_total,0.9820073531901662,District,district
daily_one_minus_load_factor_average,1.2302723052516256,District,district
daily_peak_average,1.4375296876493788,District,district
discomfort_cold_delta_average,1.3813174821712353,District,district
discomfort_cold_delta_maximum,9.462981541951498,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.2860583854872513,District,district
discomfort_hot_delta_average,0.9561905242778637,District,district
discomfort_hot_delta_maximum,7.61531130472819,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.25114277520133754,District,district
discomfort_proportion,0.5372011606885888,District,district
electricity_consumption_total,0.9641059927298231,District,district
monthly_one_minus_load_factor_average,1.0075531434911507,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,2.1463027462100603,District,district
zero_net_energy,0.8962971004312442,District,district
electricity_consumption_total,0.924132263492687,Building_1,building
zero_net_energy,0.8481689008031214,Building_1,building
carbon_emissions_total,0.9326221463290705,Building_1,building
cost_total,0.8932123785495738,Building_1,building
discomfort_proportion,0.6535764375876578,Building_1,building
discomfort_cold_proportion,0.4277699859747546,Building_1,building
discomfort_hot_proportion,0.22580645161290322,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,13.63205337524414,Building_1,building
discomfort_cold_delta_average,2.430934119224548,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,6.837242126464844,Building_1,building
discomfort_hot_delta_average,1.0089772860209147,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,1.0448746293514948,Building_2,building
zero_net_energy,0.9473995334013467,Building_2,building
carbon_emissions_total,1.0478000434849073,Building_2,building
cost_total,1.1284310712633956,Building_2,building
discomfort_proportion,0.5503731343283582,Building_2,building
discomfort_cold_proportion,0.22574626865671643,Building_2,building
discomfort_hot_proportion,0.3246268656716418,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,9.814254760742188,Building_2,building
discomfort_cold_delta_average,0.947893574502733,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,9.379480361938477,Building_2,building
discomfort_hot_delta_average,1.1163382583194308,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,0.9233110853452873,Building_3,building
zero_net_energy,0.8933228670892646,Building_3,building
carbon_emissions_total,0.9236744566731556,Building_3,building
cost_total,0.9243786097575292,Building_3,building
discomfort_proportion,0.40765391014975044,Building_3,building
discomfort_cold_proportion,0.20465890183028287,Building_3,building
discomfort_hot_proportion,0.20299500831946754,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,4.942636489868164,Building_3,building
discomfort_cold_delta_average,0.7651247527864244,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,6.62921142578125,Building_3,building
discomfort_hot_delta_average,0.7432560284932455,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
