cost_function,value,name,level
all_time_peak_average,0.9471629819912722,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,0.5357737105869201,District,district
cost_total,0.49924038293682177,District,district
daily_one_minus_load_factor_average,1.2740479216954401,District,district
daily_peak_average,0.8308272152090026,District,district
discomfort_cold_delta_average,0.037627848872432,District,district
discomfort_cold_delta_maximum,4.757102966308594,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.006386371089852281,District,district
discomfort_hot_delta_average,4.774594173608002,District,district
discomfort_hot_delta_maximum,13.579320271809896,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.8447160870892264,District,district
discomfort_proportion,0.8511024581790787,District,district
electricity_consumption_total,0.5378011854755008,District,district
monthly_one_minus_load_factor_average,1.1154816395887361,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,1.1800437557862686,District,district
zero_net_energy,0.46448701249158253,District,district
electricity_consumption_total,0.4837108461881935,Building_1,building
zero_net_energy,0.36307477260329546,Building_1,building
carbon_emissions_total,0.4813038249645987,Building_1,building
cost_total,0.44820951264836545,Building_1,building
discomfort_proportion,0.8555399719495091,Building_1,building
discomfort_cold_proportion,0.015427769985974754,Building_1,building
discomfort_hot_proportion,0.8401122019635343,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,6.01359748840332,Building_1,building
discomfort_cold_delta_average,0.07759961287180582,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,14.396747589111328,Building_1,building
discomfort_hot_delta_average,5.457459719975789,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,0.528816360135472,Building_2,building
zero_net_energy,0.4843130674011259,Building_2,building
carbon_emissions_total,0.52708276163639,Building_2,building
cost_total,0.49437720431381604,Building_2,building
discomfort_proportion,0.8208955223880597,Building_2,building
discomfort_cold_proportion,0.0037313432835820895,Building_2,building
discomfort_hot_proportion,0.8171641791044776,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,6.304603576660156,Building_2,building
discomfort_cold_delta_average,0.025392267439100478,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,14.149309158325195,Building_2,building
discomfort_hot_delta_average,4.324355602264404,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,0.6008763501028369,Building_3,building
zero_net_energy,0.5460731974703261,Building_3,building
carbon_emissions_total,0.5989345451597717,Building_3,building
cost_total,0.5551344318482839,Building_3,building
discomfort_proportion,0.8768718801996672,Building_3,building
discomfort_cold_proportion,0.0,Building_3,building
discomfort_hot_proportion,0.8768718801996672,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,1.9531078338623047,Building_3,building
discomfort_cold_delta_average,0.009891666306389702,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,12.191904067993164,Building_3,building
discomfort_hot_delta_average,4.541967198583815,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
