cost_function,value,name,level
all_time_peak_average,0.831593856758047,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,0.4193028273534221,District,district
cost_total,0.3926079191398706,District,district
daily_one_minus_load_factor_average,1.3004378943004538,District,district
daily_peak_average,0.6867744700582726,District,district
discomfort_cold_delta_average,0.001561144546226219,District,district
discomfort_cold_delta_maximum,0.31232961018880206,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.0,District,district
discomfort_hot_delta_average,8.285302225748698,District,district
discomfort_hot_delta_maximum,15.062206268310547,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.9781601031325348,District,district
discomfort_proportion,0.9781601031325348,District,district
electricity_consumption_total,0.42371958690595585,District,district
monthly_one_minus_load_factor_average,1.1302053009777724,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,0.9320920882862959,District,district
zero_net_energy,0.350146929516993,District,district
electricity_consumption_total,0.38844355163970823,Building_1,building
zero_net_energy,0.2667635270734209,Building_1,building
carbon_emissions_total,0.3854579924559876,Building_1,building
cost_total,0.36372750928811304,Building_1,building
discomfort_proportion,0.9803646563814866,Building_1,building
discomfort_cold_proportion,0.0,Building_1,building
discomfort_hot_proportion,0.9803646563814866,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,0.12356948852539062,Building_1,building
discomfort_cold_delta_average,0.0003257698482937283,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,16.79342269897461,Building_1,building
discomfort_hot_delta_average,9.516325651274787,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,0.37574589554841986,Building_2,building
zero_net_energy,0.3445927720850548,Building_2,building
carbon_emissions_total,0.3709525802276467,Building_2,building
cost_total,0.3448250279987443,Building_2,building
discomfort_proportion,0.9757462686567164,Building_2,building
discomfort_cold_proportion,0.0,Building_2,building
discomfort_hot_proportion,0.9757462686567164,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,0.5813179016113281,Building_2,building
discomfort_cold_delta_average,0.003684753841824002,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,14.71180534362793,Building_2,building
discomfort_hot_delta_average,7.135614109039307,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,0.5069693135297394,Building_3,building
zero_net_energy,0.4390844893925033,Building_3,building
carbon_emissions_total,0.5014979093766321,Building_3,building
cost_total,0.46927122013275446,Building_3,building
discomfort_proportion,0.978369384359401,Building_3,building
discomfort_cold_proportion,0.0,Building_3,building
discomfort_hot_proportion,0.978369384359401,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,0.2321014404296875,Building_3,building
discomfort_cold_delta_average,0.0006729099485609266,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,13.681390762329102,Building_3,building
discomfort_hot_delta_average,8.203966916932,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
