cost_function,value,name,level
all_time_peak_average,0.8315936625639461,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,0.4092631821460481,District,district
cost_total,0.3834112442524685,District,district
daily_one_minus_load_factor_average,1.3052590675060507,District,district
daily_peak_average,0.685820050378224,District,district
discomfort_cold_delta_average,0.001561144546226219,District,district
discomfort_cold_delta_maximum,0.31232961018880206,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.0,District,district
discomfort_hot_delta_average,8.301005374060736,District,district
discomfort_hot_delta_maximum,14.99511464436849,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.9781601031325348,District,district
discomfort_proportion,0.9781601031325348,District,district
electricity_consumption_total,0.4139942347359599,District,district
monthly_one_minus_load_factor_average,1.1312092531640556,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,0.8930418916471409,District,district
zero_net_energy,0.345470174908532,District,district
electricity_consumption_total,0.38833854649523875,Building_1,building
zero_net_energy,0.2666680803634759,Building_1,building
carbon_emissions_total,0.38536622356944766,Building_1,building
cost_total,0.3636345728471297,Building_1,building
discomfort_proportion,0.9803646563814866,Building_1,building
discomfort_cold_proportion,0.0,Building_1,building
discomfort_hot_proportion,0.9803646563814866,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,0.12356948852539062,Building_1,building
discomfort_cold_delta_average,0.0003257698482937283,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,16.79342269897461,Building_1,building
discomfort_hot_delta_average,9.516325545310973,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,0.35839696666304477,Building_2,building
zero_net_energy,0.33362576482516937,Building_2,building
carbon_emissions_total,0.35257540660323655,Building_2,building
cost_total,0.32761723847390956,Building_2,building
discomfort_proportion,0.9757462686567164,Building_2,building
discomfort_cold_proportion,0.0,Building_2,building
discomfort_hot_proportion,0.9757462686567164,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,0.5813179016113281,Building_2,building
discomfort_cold_delta_average,0.003684753841824002,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,14.510522842407227,Building_2,building
discomfort_hot_delta_average,7.182721842659844,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,0.4952471910495962,Building_3,building
zero_net_energy,0.4361166795369507,Building_3,building
carbon_emissions_total,0.48984791626546015,Building_3,building
cost_total,0.45898192143636624,Building_3,building
discomfort_proportion,0.978369384359401,Building_3,building
discomfort_cold_proportion,0.0,Building_3,building
discomfort_hot_proportion,0.978369384359401,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,0.2321014404296875,Building_3,building
discomfort_cold_delta_average,0.0006729099485609266,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,13.681398391723633,Building_3,building
discomfort_hot_delta_average,8.203968734211392,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
