cost_function,value,name,level
all_time_peak_average,0.8017680365043734,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,0.4481564571231936,District,district
cost_total,0.42251622741293526,District,district
daily_one_minus_load_factor_average,1.3232358157079722,District,district
daily_peak_average,0.7131938290624749,District,district
discomfort_cold_delta_average,0.001561144546226219,District,district
discomfort_cold_delta_maximum,0.31232961018880206,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.0,District,district
discomfort_hot_delta_average,8.303549577571728,District,district
discomfort_hot_delta_maximum,15.082481384277344,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.9781601031325348,District,district
discomfort_proportion,0.9781601031325348,District,district
electricity_consumption_total,0.4513477842688182,District,district
monthly_one_minus_load_factor_average,1.1268246212333066,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,1.0084622786369104,District,district
zero_net_energy,0.34991013128859966,District,district
electricity_consumption_total,0.38833854750181523,Building_1,building
zero_net_energy,0.26657516477770676,Building_1,building
carbon_emissions_total,0.3853662241931975,Building_1,building
cost_total,0.3636345738252646,Building_1,building
discomfort_proportion,0.9803646563814866,Building_1,building
discomfort_cold_proportion,0.0,Building_1,building
discomfort_hot_proportion,0.9803646563814866,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,0.12356948852539062,Building_1,building
discomfort_cold_delta_average,0.0003257698482937283,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,16.79342269897461,Building_1,building
discomfort_hot_delta_average,9.516325407558018,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,0.4688862831857742,Building_2,building
zero_net_energy,0.34565944077435246,Building_2,building
carbon_emissions_total,0.46762887274806036,Building_2,building
cost_total,0.4435615225132388,Building_2,building
discomfort_proportion,0.9757462686567164,Building_2,building
discomfort_cold_proportion,0.0,Building_2,building
discomfort_hot_proportion,0.9757462686567164,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,0.5813179016113281,Building_2,building
discomfort_cold_delta_average,0.003684753841824002,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,14.772623062133789,Building_2,building
discomfort_hot_delta_average,7.190354771084255,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,0.4968185221188653,Building_3,building
zero_net_energy,0.43749578831373964,Building_3,building
carbon_emissions_total,0.49147427442832287,Building_3,building
cost_total,0.4603525859003023,Building_3,building
discomfort_proportion,0.978369384359401,Building_3,building
discomfort_cold_proportion,0.0,Building_3,building
discomfort_hot_proportion,0.978369384359401,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,0.2321014404296875,Building_3,building
discomfort_cold_delta_average,0.0006729099485609266,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,13.681398391723633,Building_3,building
discomfort_hot_delta_average,8.20396855407291,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
