cost_function,value,name,level
all_time_peak_average,1.2617690068809813,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,1.3548181182695664,District,district
cost_total,1.3386179302458572,District,district
daily_one_minus_load_factor_average,1.065425587025653,District,district
daily_peak_average,1.3338219626065748,District,district
discomfort_cold_delta_average,2.6290644698672825,District,district
discomfort_cold_delta_maximum,10.176995595296225,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.5897392313390865,District,district
discomfort_hot_delta_average,0.8838197496202257,District,district
discomfort_hot_delta_maximum,8.385084788004557,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.18117418411857744,District,district
discomfort_proportion,0.770913415457664,District,district
electricity_consumption_total,1.3595651079517976,District,district
monthly_one_minus_load_factor_average,1.009620658197828,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,1.8810593627838916,District,district
zero_net_energy,1.244387354023782,District,district
electricity_consumption_total,0.8445576244251427,Building_1,building
zero_net_energy,0.6759941050292693,Building_1,building
carbon_emissions_total,0.8521065126221445,Building_1,building
cost_total,0.8087790019318073,Building_1,building
discomfort_proportion,0.6507713884992987,Building_1,building
discomfort_cold_proportion,0.27349228611500703,Building_1,building
discomfort_hot_proportion,0.37727910238429174,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,11.456059455871582,Building_1,building
discomfort_cold_delta_average,1.5743540194299486,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,9.566198348999023,Building_1,building
discomfort_hot_delta_average,2.034840440750122,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,1.504776062734898,Building_2,building
zero_net_energy,1.391060508921951,Building_2,building
carbon_emissions_total,1.5183307199335703,Building_2,building
cost_total,1.572121769990111,Building_2,building
discomfort_proportion,0.8283582089552238,Building_2,building
discomfort_cold_proportion,0.7220149253731343,Building_2,building
discomfort_hot_proportion,0.10634328358208955,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,11.883997917175293,Building_2,building
discomfort_cold_delta_average,3.049781522485945,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,10.334510803222656,Building_2,building
discomfort_hot_delta_average,0.41786937183803985,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,1.7293616366953524,Building_3,building
zero_net_energy,1.6661074481201257,Building_3,building
carbon_emissions_total,1.694017122252985,Building_3,building
cost_total,1.6349530188156534,Building_3,building
discomfort_proportion,0.8336106489184693,Building_3,building
discomfort_cold_proportion,0.7737104825291181,Building_3,building
discomfort_hot_proportion,0.059900166389351084,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,7.190929412841797,Building_3,building
discomfort_cold_delta_average,3.2630578676859536,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,5.254545211791992,Building_3,building
discomfort_hot_delta_average,0.19874943627251518,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
