cost_function,value,name,level
all_time_peak_average,0.9471629819912722,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,0.693740740438448,District,district
cost_total,0.6437746717433362,District,district
daily_one_minus_load_factor_average,1.2393082737352297,District,district
daily_peak_average,1.0241818710519826,District,district
discomfort_cold_delta_average,0.2455206804805332,District,district
discomfort_cold_delta_maximum,5.006158192952474,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.05603000422158715,District,district
discomfort_hot_delta_average,2.1170400698979694,District,district
discomfort_hot_delta_maximum,9.959608713785807,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.5174089356072759,District,district
discomfort_proportion,0.573438939828863,District,district
electricity_consumption_total,0.6961385947885353,District,district
monthly_one_minus_load_factor_average,1.075672288168938,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,1.5546407703014598,District,district
zero_net_energy,0.6301973937462284,District,district
electricity_consumption_total,0.6724672300394237,Building_1,building
zero_net_energy,0.5648230078079496,Building_1,building
carbon_emissions_total,0.6742502638438989,Building_1,building
cost_total,0.627195609674733,Building_1,building
discomfort_proportion,0.6072931276297335,Building_1,building
discomfort_cold_proportion,0.09396914446002805,Building_1,building
discomfort_hot_proportion,0.5133239831697055,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,7.281415939331055,Building_1,building
discomfort_cold_delta_average,0.4457294159465366,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,9.335899353027344,Building_1,building
discomfort_hot_delta_average,2.435597631666395,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,0.6903254100854669,Building_2,building
zero_net_energy,0.6416968402063719,Building_2,building
carbon_emissions_total,0.6847292734814379,Building_2,building
cost_total,0.6293938399782469,Building_2,building
discomfort_proportion,0.5988805970149254,Building_2,building
discomfort_cold_proportion,0.03917910447761194,Building_2,building
discomfort_hot_proportion,0.5597014925373134,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,4.298910140991211,Building_2,building
discomfort_cold_delta_average,0.15550323327382407,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,12.612730026245117,Building_2,building
discomfort_hot_delta_average,2.1867561605241566,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,0.7256231442407155,Building_3,building
zero_net_energy,0.6840723332243639,Building_3,building
carbon_emissions_total,0.7222426839900072,Building_3,building
cost_total,0.6747345655770289,Building_3,building
discomfort_proportion,0.5141430948419301,Building_3,building
discomfort_cold_proportion,0.03494176372712146,Building_3,building
discomfort_hot_proportion,0.47920133111480867,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,3.4381484985351562,Building_3,building
discomfort_cold_delta_average,0.13532939222123888,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,7.930196762084961,Building_3,building
discomfort_hot_delta_average,1.728766417503357,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
