cost_function,value,name,level
all_time_peak_average,0.8315936625639461,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,0.43750959652246885,District,district
cost_total,0.406821284874961,District,district
daily_one_minus_load_factor_average,1.3139575887858241,District,district
daily_peak_average,0.7389621351653226,District,district
discomfort_cold_delta_average,0.019171705069365323,District,district
discomfort_cold_delta_maximum,3.378288904825846,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.002805049088359046,District,district
discomfort_hot_delta_average,7.725467930899725,District,district
discomfort_hot_delta_maximum,15.08243179321289,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.968326928795173,District,district
discomfort_proportion,0.9711319778835321,District,district
electricity_consumption_total,0.4400475769604271,District,district
monthly_one_minus_load_factor_average,1.1254071945683963,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,0.9932175055397517,District,district
zero_net_energy,0.36738892209712765,District,district
electricity_consumption_total,0.40540989679153755,Building_1,building
zero_net_energy,0.28568425453125185,Building_1,building
carbon_emissions_total,0.4043854633090226,Building_1,building
cost_total,0.3793386007584893,Building_1,building
discomfort_proportion,0.9663394109396914,Building_1,building
discomfort_cold_proportion,0.008415147265077139,Building_1,building
discomfort_hot_proportion,0.9579242636746143,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,9.073894500732422,Building_1,building
discomfort_cold_delta_average,0.0520062420103285,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,16.79342269897461,Building_1,building
discomfort_hot_delta_average,8.833351328637864,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,0.3959313642850088,Building_2,building
zero_net_energy,0.35804154200496846,Building_2,building
carbon_emissions_total,0.3925242141197671,Building_2,building
cost_total,0.36002583226898555,Building_2,building
discomfort_proportion,0.9720149253731343,Building_2,building
discomfort_cold_proportion,0.0,Building_2,building
discomfort_hot_proportion,0.9720149253731343,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,0.8288707733154297,Building_2,building
discomfort_cold_delta_average,0.004835963249206543,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,14.77247428894043,Building_2,building
discomfort_hot_delta_average,6.811726850933499,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,0.5188014698047351,Building_3,building
zero_net_energy,0.45844096975516263,Building_3,building
carbon_emissions_total,0.5156191121386168,Building_3,building
cost_total,0.481099421597408,Building_3,building
discomfort_proportion,0.9750415973377704,Building_3,building
discomfort_cold_proportion,0.0,Building_3,building
discomfort_hot_proportion,0.9750415973377704,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,0.2321014404296875,Building_3,building
discomfort_cold_delta_average,0.0006729099485609266,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,13.681398391723633,Building_3,building
discomfort_hot_delta_average,7.531325613127814,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
