cost_function,value,name,level
all_time_peak_average,1.2938707816845658,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,1.2783965313537333,District,district
cost_total,1.256107801069889,District,district
daily_one_minus_load_factor_average,1.0594219904258053,District,district
daily_peak_average,1.3591565000076453,District,district
discomfort_cold_delta_average,2.899069943692949,District,district
discomfort_cold_delta_maximum,10.087103525797525,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.6417916223838881,District,district
discomfort_hot_delta_average,0.3844791694923684,District,district
discomfort_hot_delta_maximum,6.9865296681722,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.10290160188688147,District,district
discomfort_proportion,0.7446932242707697,District,district
electricity_consumption_total,1.2868211168928034,District,district
monthly_one_minus_load_factor_average,1.0060858888349964,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,1.8153663238544828,District,district
zero_net_energy,1.2740631883788025,District,district
electricity_consumption_total,1.2226802284708644,Building_1,building
zero_net_energy,1.1991920775426563,Building_1,building
carbon_emissions_total,1.2173579716571583,Building_1,building
cost_total,1.1865950285453695,Building_1,building
discomfort_proportion,0.8036465638148668,Building_1,building
discomfort_cold_proportion,0.7531556802244039,Building_1,building
discomfort_hot_proportion,0.05049088359046283,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,13.854429244995117,Building_1,building
discomfort_cold_delta_average,4.664511417018042,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,6.449638366699219,Building_1,building
discomfort_hot_delta_average,0.2151593526204427,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,1.3989605176836408,Building_2,building
zero_net_energy,1.388341504524754,Building_2,building
carbon_emissions_total,1.387063166776956,Building_2,building
cost_total,1.3740606899987469,Building_2,building
discomfort_proportion,0.7798507462686567,Building_2,building
discomfort_cold_proportion,0.6231343283582089,Building_2,building
discomfort_hot_proportion,0.15671641791044777,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,9.810195922851562,Building_2,building
discomfort_cold_delta_average,2.2980054246054755,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,7.909967422485352,Building_2,building
discomfort_hot_delta_average,0.5508180618286133,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,1.238822604523905,Building_3,building
zero_net_energy,1.2346559830689974,Building_3,building
carbon_emissions_total,1.230768455627086,Building_3,building
cost_total,1.207667684665551,Building_3,building
discomfort_proportion,0.6505823627287853,Building_3,building
discomfort_cold_proportion,0.5490848585690515,Building_3,building
discomfort_hot_proportion,0.10149750415973377,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,6.596685409545898,Building_3,building
discomfort_cold_delta_average,1.7346929894553291,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,6.599983215332031,Building_3,building
discomfort_hot_delta_average,0.38746009402804904,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
