cost_function,value,name,level
all_time_peak_average,0.9471629819912722,District,district
annual_normalized_unserved_energy_total,0.0,District,district
carbon_emissions_total,0.5222492152394681,District,district
cost_total,0.48618877422460854,District,district
daily_one_minus_load_factor_average,1.2867784136315068,District,district
daily_peak_average,0.8201815838916752,District,district
discomfort_cold_delta_average,0.044029695016366464,District,district
discomfort_cold_delta_maximum,3.5281079610188804,District,district
discomfort_cold_delta_minimum,0.0,District,district
discomfort_cold_proportion,0.008102021449554471,District,district
discomfort_hot_delta_average,5.040559637105023,District,district
discomfort_hot_delta_maximum,13.836223602294922,District,district
discomfort_hot_delta_minimum,0.0,District,district
discomfort_hot_proportion,0.8565684272534595,District,district
discomfort_proportion,0.864670448703014,District,district
electricity_consumption_total,0.5245198929646336,District,district
monthly_one_minus_load_factor_average,1.1185326050872504,District,district
one_minus_thermal_resilience_proportion,,District,district
power_outage_normalized_unserved_energy_total,,District,district
ramping_average,1.1662918040373473,District,district
zero_net_energy,0.44884112364059897,District,district
electricity_consumption_total,0.4893156528405398,Building_1,building
zero_net_energy,0.3669165524661062,Building_1,building
carbon_emissions_total,0.48989886061496274,Building_1,building
cost_total,0.46104954181754326,Building_1,building
discomfort_proportion,0.8611500701262272,Building_1,building
discomfort_cold_proportion,0.02244039270687237,Building_1,building
discomfort_hot_proportion,0.8387096774193549,Building_1,building
discomfort_cold_delta_minimum,0.0,Building_1,building
discomfort_cold_delta_maximum,6.073583602905273,Building_1,building
discomfort_cold_delta_average,0.10849504470825196,Building_1,building
discomfort_hot_delta_minimum,0.0,Building_1,building
discomfort_hot_delta_maximum,14.98379898071289,Building_1,building
discomfort_hot_delta_average,5.565156642595927,Building_1,building
one_minus_thermal_resilience_proportion,,Building_1,building
power_outage_normalized_unserved_energy_total,,Building_1,building
annual_normalized_unserved_energy_total,0.0,Building_1,building
electricity_consumption_total,0.4967848377664919,Building_2,building
zero_net_energy,0.45217704041286494,Building_2,building
carbon_emissions_total,0.4912615529470867,Building_2,building
cost_total,0.45024805570659354,Building_2,building
discomfort_proportion,0.8376865671641791,Building_2,building
discomfort_cold_proportion,0.0018656716417910447,Building_2,building
discomfort_hot_proportion,0.835820895522388,Building_2,building
discomfort_cold_delta_minimum,0.0,Building_2,building
discomfort_cold_delta_maximum,3.315319061279297,Building_2,building
discomfort_cold_delta_average,0.019713250796000163,Building_2,building
discomfort_hot_delta_minimum,0.0,Building_2,building
discomfort_hot_delta_maximum,14.143423080444336,Building_2,building
discomfort_hot_delta_average,4.642744962374369,Building_2,building
one_minus_thermal_resilience_proportion,,Building_2,building
power_outage_normalized_unserved_energy_total,,Building_2,building
annual_normalized_unserved_energy_total,0.0,Building_2,building
electricity_consumption_total,0.587459188286869,Building_3,building
zero_net_energy,0.5274297780428258,Building_3,building
carbon_emissions_total,0.5855872321563551,Building_3,building
cost_total,0.5472687251496888,Building_3,building
discomfort_proportion,0.8951747088186356,Building_3,building
discomfort_cold_proportion,0.0,Building_3,building
discomfort_hot_proportion,0.8951747088186356,Building_3,building
discomfort_cold_delta_minimum,0.0,Building_3,building
discomfort_cold_delta_maximum,1.1954212188720703,Building_3,building
discomfort_cold_delta_average,0.0038807895448472766,Building_3,building
discomfort_hot_delta_minimum,0.0,Building_3,building
discomfort_hot_delta_maximum,12.381448745727539,Building_3,building
discomfort_hot_delta_average,4.913777306344774,Building_3,building
one_minus_thermal_resilience_proportion,,Building_3,building
power_outage_normalized_unserved_energy_total,,Building_3,building
annual_normalized_unserved_energy_total,0.0,Building_3,building
